preusuel,sexe,annais,nombre
MAXINE,36,36171,2311
LÉANDRO,10,20135,2310
GWENDAL,18,36171,2296
CYNTHIA,36,36171,2291
SELIM,18,36171,2289
JOEY,54,72342,2287
JENNIFER,36,36171,2285
KAHINA,36,36171,2284
RIYAD,18,36171,2283
MATISSE,34,52212,2279
ALMA,36,36171,2279
JULIANA,36,36171,2277
THEOPHILE,18,36171,2276
NAËLLE,20,20135,2275
YONI,18,36171,2257
KILYAN,18,36171,2254
EMERIC,18,36171,2252
ANGELIQUE,34,34154,2251
FANTINE,36,36171,2247
ANTONIO,18,36171,2247
CORALINE,36,36171,2244
TASNIM,40,44202,2242
PIERRICK,18,36171,2239
TAMARA,36,36171,2230
LISANDRO,14,28161,2229
NAILA,36,36171,2224
MICHEL,18,36171,2224
VADIM,18,36171,2221
LUCIA,36,36171,2218
EDDY,18,36171,2216
NADIR,18,36171,2215
MAUREEN,36,36171,2206
JESSIM,18,36171,2203
IZIA,36,36171,2200
JOYCE,54,72342,2196
JACQUES,18,36171,2187
LILIE,36,36171,2173
SOFIAN,18,36171,2173
CESAR,18,36171,2169
SOLENN,36,36171,2166
SAMIR,18,36171,2165
ALOIS,38,56226,2164
FLORENTIN,18,36171,2163
PRUNE,36,36171,2162
MAYLINE,36,36171,2162
ISMAÏL,9,18126,2159
ALESSIA,36,36171,2159
AALIYAH,36,36171,2158
BLANDINE,36,36171,2148
EMILY,36,36171,2142
BRIAN,18,36171,2136
MARIE-LOU,36,36171,2136
JAWAD,18,36171,2131
NOÉLIE,20,20135,2127
ESMA,36,36171,2126
LAURENT,18,36171,2121
AMBROISE,26,44216,2120
MATHILDA,36,36171,2119
YAELLE,36,36171,2116
MAXIM,18,36171,2110
GASTON,18,36171,2106
LORINE,36,36171,2106
IVAN,18,36171,2105
JIHANE,36,36171,2100
PIERRE-LOUIS,18,36171,2096
ZAHRA,36,36171,2094
MAËLY,20,20135,2088
OCEANE,30,30156,2069
MYLÈNE,36,36171,2067
ALEYNA,36,36171,2067
AYLIN,36,36171,2059
KAYLA,36,36171,2055
IDRIS,18,36171,2053
WISSEM,54,72342,2052
LEELOU,36,36171,2049
CARMEN,36,36171,2046
OLYMPE,41,46249,2038
SULLIVAN,18,36171,2038
MAËLYNE,20,20135,2033
GRACE,45,54256,2028
TOMMY,18,36171,2020
AYMANE,18,36171,2016
YOUSSOUF,18,36171,2014
ABDOULAYE,18,36171,2013
TARA,36,36171,2013
ISABELLE,36,36171,2008
ERIN,41,46241,2008
KENAN,18,36171,2007
AMBRINE,36,36171,2007
LIYA,36,36171,2007
MATTHIS,18,36171,2005
GABRIELLA,36,36171,1997
