Dernier diplôme obtenu,Branche,Semestre,Correcteur médian,Note médian,Note TP,Correcteur final,Note final,Note ECTS
BACCALAURÉAT,IM,2,Cor4,9.5,11.2,Cor6,9.0,C
BACCALAURÉAT,GI,2,Cor4,11.5,15.2,Cor6,10.5,B
BACCALAURÉAT,IM,2,Cor4,18.5,17.6,Cor6,13.5,A
BTS,GSU,2,Cor4,4.5,6.4,Cor6,8.0,F
BACCALAURÉAT,GB,2,Cor4,9,13.6,Cor6,11.5,C
BACCALAURÉAT,IM,4,Cor5,10.5,8.8,Cor6,13.0,C
BACCALAURÉAT,IM,4,Cor5,10,12.8,Cor6,8.5,C
BACCALAURÉAT,GI,2,Cor5,7.5,12.8,Cor6,5.5,D
LICENCE ET LICENCE LMD,IM,5,Cor5,10.5,13.6,Cor6,10.5,C
DIPLOME UNIVERSITAIRE D'ENTREE EN 1ER CYCLE,GB,2,Cor5,9,14.4,Cor6,9.5,C
DUT,GI,2,Cor5,1.5,,Cor6,1.0,F
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,2,Cor5,9,12.8,Cor6,7.0,D
DUT,GI,6,Cor5,4.5,16.0,Cor5,11.0,D
LICENCE ET LICENCE LMD,GB,2,Cor5,8,13.6,Cor5,10.5,C
BACCALAURÉAT,HuTech,4,Cor5,14,12.8,Cor5,8.5,B
BACCALAURÉAT,IM,2,Cor5,16.5,16.0,Cor5,14.0,A
BACCALAURÉAT,GSU,2,Cor5,14,15.2,Cor5,12.5,B
BACCALAURÉAT,GI,2,Cor5,16,14.4,Cor5,12.5,A
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,4,Cor5,16,10.4,Cor5,15.0,A
AUTRE DIPLOME SUPERIEUR,GB,2,Cor5,15.5,14.4,Cor5,15.0,A
DUT,IM,4,Cor5,10.5,11.2,Cor5,9.5,C
DUT,GI,2,Cor5,5.5,9.6,Cor5,11.0,D
DUT,IM,1,Cor5,3.5,0.8,,,F
DIPLOME ETAB ETRANGER SECONDAIRE,IM,2,Cor5,12,4.0,Cor5,10.0,C
LICENCE ET LICENCE LMD,GSU,4,Cor5,6.5,13.6,Cor5,10.5,D
BACCALAURÉAT,IM,4,Cor6,12.5,8.0,Cor5,14.5,B
DUT,GI,2,Cor5,7,7.2,Cor5,7.5,E
DUT,GSU,2,Cor5,4.5,5.6,Cor5,6.5,F
AUTRE DIPLOME UNIVERSITAIRE DE 1ER CYCLE HORS DUT,GI,6,,ABS,,,,ABS
DUT,IM,4,Cor5,15,16.0,Cor5,18.5,A
DUT,IM,4,Cor6,9,15.2,Cor5,13.0,C
BACCALAURÉAT,GSU,2,Cor6,4.5,12.0,Cor5,13.0,D
